n,accept_boundary,reject_boundary,accept_tail_prob_at_p0,reject_tail_prob_at_p0
1,,,,
2,,2.0,,0.010000000000000002
3,,2.0,,0.028000000000000008
4,,3.0,,0.003700000000000002
5,,3.0,,0.008560000000000005
6,,3.0,,0.01585000000000001
7,,3.0,,0.025691500000000016
8,,3.0,,0.03809179000000003
9,,4.0,,0.008331094000000004
10,,4.0,,0.01279519840000001
11,,4.0,,0.018534761200000017
12,,4.0,,0.025637470165000023
13,,4.0,,0.03416072092300003
14,,4.0,,0.04413292430986005
15,,5.0,,0.012720483641251015
16,,5.0,,0.017003998277879517
17,,5.0,,0.022144215841833736
18,,5.0,,0.028193856513256753
19,,5.0,,0.035194155004474835
20,,5.0,,0.04317449528446346
21,,6.0,,0.01444527027650446
22,0.0,6.0,0.09847709021836108,0.018215981058799076
23,0.0,6.0,0.08862938119652497,0.022607750087589293
24,0.0,6.0,0.07976644307687247,0.027658284470698014
25,0.0,6.0,0.07178979876918523,0.0333999446114953
26,0.0,6.0,0.0646108188922667,0.03985931226989228
27,0.0,6.0,0.058149737003040027,0.047056893374963174
28,0.0,7.0,0.05233476330273602,0.01790668989942605
29,0.0,7.0,0.04710128697246242,0.021616715796312587
30,0.0,7.0,0.042391158275216174,0.02582678866190993
31,0.0,7.0,0.03815204244769456,0.03056312063570696
32,0.0,7.0,0.0343368382029251,0.03584886711846441
33,0.0,7.0,0.030903154382632587,0.041703847837826526
34,0.0,7.0,0.02781283894436933,0.048144326629124864
35,0.0,8.0,0.025031555049932395,0.01999023362716361
36,0.0,8.0,0.022528399544939157,0.023509495252408773
37,0.0,8.0,0.020275559590445236,0.02744135996475162
38,1.0,8.0,0.09529513007509288,0.03180572979545221
39,1.0,8.0,0.08759041743072368,0.036620615221579944
40,1.0,8.0,0.08047369601447737,0.041901942673363834
41,1.0,8.0,0.0739044147071731,0.04766339080258257
42,1.0,9.0,0.06784425270118491,0.021088711306561068
43,1.0,9.0,0.06225707894932263,0.024371465832540185
44,1.0,9.0,0.05710889742082096,0.028001254408408553
45,1.0,9.0,0.0523677814085264,0.03199402184186372
46,1.0,9.0,0.04800379962448252,0.03636448349199713
47,1.0,9.0,0.04398893638316217,0.04112598644766874
48,1.0,9.0,0.04029700779386107,0.04629038580728162
49,1.0,10.0,0.03690357555858855,0.02150126888113899
50,1.0,10.0,0.033785859692431926,0.024537935704591392
51,1.0,10.0,0.03092265124392076,0.027870862705941808
52,2.0,10.0,0.09663328513725239,0.03151327578598886
53,2.0,10.0,0.0897993792123459,0.03547757653357496
54,2.0,10.0,0.08340766720022746,0.03977523893493543
55,2.0,10.0,0.07743387481967062,0.04441671432840473
56,2.0,10.0,0.07185457816235813,0.049411345458333575
57,2.0,11.0,0.06664723461553312,0.02423840456349196
58,2.0,11.0,0.061790203270949064,0.027291293140100426
59,2.0,11.0,0.05726275619617607,0.030611309467162177
60,2.0,11.0,0.05304508181599281,0.03420912307873303
61,2.0,11.0,0.049118281530994595,0.038094761779229734
62,2.0,11.0,0.045464360587835255,0.042277537556822994
63,2.0,11.0,0.04206621411069705,0.046765977718163675
64,2.0,12.0,0.038907609106537455,0.02363010888652615
65,3.0,12.0,0.09955282518640189,0.026423874179403114
66,3.0,12.0,0.09319485898448061,0.02945045324668657
