varied_parameter,accept_confidence,reject_confidence,accept_threshold,reject_threshold,earliest_accept_n,earliest_accept_k,earliest_reject_n,earliest_reject_k,true_p,accept_prob,reject_prob,unresolved_prob,stop_prob,expected_tau_if_converged,truncated_expected_n,conditional_expected_n_given_stopped,horizon,converged
accept_confidence,0.88,0.95,8.333333333333334,19.999999999999982,32,0,2,2,0.05,0.9963957646555062,0.003604136135318188,9.92091693836036e-08,0.9999999007908243,149.63160887097035,149.63176254597374,149.6316237158004,1549,True
accept_confidence,0.88,0.95,8.333333333333334,19.999999999999982,32,0,2,2,0.08,0.9875824702060237,0.012405390192675711,1.21396013500168e-05,0.9999878603986995,,1198.9039038200824,1198.7970607249397,10000,False
accept_confidence,0.88,0.95,8.333333333333334,19.999999999999982,32,0,2,2,0.12,0.027615778705490392,0.9692943291289459,0.003089892165568784,0.9969101078344362,,2821.528091828188,2799.278639309332,10000,False
accept_confidence,0.88,0.95,8.333333333333334,19.999999999999982,32,0,2,2,0.2,0.0008487667062952091,0.9991511344390297,9.885468322555051e-08,0.9999999011453249,103.30857666690217,103.30866860175757,103.30858687943896,930,True
accept_confidence,0.89,0.95,9.090909090909092,19.999999999999982,33,0,2,2,0.05,0.9963957638631223,0.003604136139579729,9.99972916039896e-08,0.9999999000027021,155.3908578567786,155.39101425254267,155.39087339544608,1564,True
accept_confidence,0.89,0.95,9.090909090909092,19.999999999999982,33,0,2,2,0.08,0.9875805157974977,0.012405402555372107,1.4081647179454936e-05,0.9999859183528699,,1244.1949297302403,1244.07163183617,10000,False
accept_confidence,0.89,0.95,9.090909090909092,19.999999999999982,33,0,2,2,0.12,0.024404844901544948,0.9724881666138704,0.0031069884845924094,0.9968930115154153,,2832.9608189723267,2810.623509003379,10000,False
accept_confidence,0.89,0.95,9.090909090909092,19.999999999999982,33,0,2,2,0.2,0.0006792551395920383,0.9993206457843071,9.9076106100074e-08,0.9999999009238991,103.34142318919301,103.34151532997168,103.34143342785929,930,True
accept_confidence,0.9,0.95,10.000000000000002,19.999999999999982,34,0,2,2,0.05,0.9963957758634047,0.003604136142392039,8.799419673156844e-08,0.9999999120057967,161.2973542635286,161.2974942622956,161.29736845676203,1591,True
accept_confidence,0.9,0.95,10.000000000000002,19.999999999999982,34,0,2,2,0.08,0.9875783511897004,0.012405412031306733,1.623677904620723e-05,0.9999837632210071,,1292.2152455601022,1292.0738568872969,10000,False
accept_confidence,0.9,0.95,10.000000000000002,19.999999999999982,34,0,2,2,0.12,0.021583269148560572,0.9752943636686684,0.003122367182776148,0.996877632817229,,2843.0692062593075,2820.652647692698,10000,False
accept_confidence,0.9,0.95,10.000000000000002,19.999999999999982,34,0,2,2,0.2,0.0005443416557590041,0.9994555590789723,9.926527387650757e-08,0.9999999007347313,103.3678434224402,103.36793573914491,103.36785368327797,930,True
accept_confidence,0.91,0.95,11.111111111111114,19.999999999999982,36,0,2,2,0.05,0.9963957725290962,0.0036041361454961516,9.132540054319033e-08,0.9999999086745923,169.40611494304542,169.4062617029641,169.40613041412934,1607,True
accept_confidence,0.91,0.95,11.111111111111114,19.999999999999982,36,0,2,2,0.08,0.9875753141742869,0.01240542496859607,1.9260857172847406e-05,0.999980739142883,,1351.1012283592356,1350.9346399465817,10000,False
accept_confidence,0.91,0.95,11.111111111111114,19.999999999999982,36,0,2,2,0.12,0.01738833820516319,0.9794672568059865,0.00314440498885943,0.9968555950111496,,2857.9927084777546,2835.4645073317224,10000,False
accept_confidence,0.91,0.95,11.111111111111114,19.999999999999982,36,0,2,2,0.2,0.00035002585124145483,0.9996498745923236,9.955644040085426e-08,0.999999900443565,103.40651742512212,103.4066100126117,103.40652771990737,930,True
accept_confidence,0.92,0.95,12.500000000000007,19.999999999999982,37,0,2,2,0.05,0.9963957675153874,0.003604136146324099,9.633828017913927e-08,0.9999999036617114,176.25915325215547,176.25930970552247,176.25917023266229,1624,True
accept_confidence,0.92,0.95,12.500000000000007,19.999999999999982,37,0,2,2,0.08,0.9875714942633647,0.01240542935009338,2.307638659925081e-05,0.999976923613458,,1408.829462965797,1408.6312052179912,10000,False
accept_confidence,0.92,0.95,12.500000000000007,19.999999999999982,37,0,2,2,0.12,0.015305655744733103,0.9815376720766684,0.003156672178600709,0.9968433278214015,,2865.602306571372,2843.0100354678025,10000,False
accept_confidence,0.92,0.95,12.500000000000007,19.999999999999982,37,0,2,2,0.2,0.0002804901463218301,0.9997194101700544,9.968363031187998e-08,0.9999999003163762,103.42062585312979,103.42071855890599,103.42063616247358,930,True
reject_confidence,0.9,0.93,10.000000000000002,14.285714285714295,34,0,2,2,0.05,0.9961328921775755,0.0038670200628978207,8.775951960209105e-08,0.9999999122404734,161.2100607096563,161.21020033505198,161.21007485737616,1591,True
reject_confidence,0.9,0.93,10.000000000000002,14.285714285714295,34,0,2,2,0.08,0.9857495132608195,0.014234321512318108,1.6165226914966528e-05,0.9999838347731376,,1288.6006032688242,1288.4597792443092,10000,False
reject_confidence,0.9,0.93,10.000000000000002,14.285714285714295,34,0,2,2,0.12,0.021582702903022763,0.9760480835079256,0.002369213589058307,0.9976307864109484,,2654.212686659264,2636.767616436714,10000,False
reject_confidence,0.9,0.93,10.000000000000002,14.285714285714295,34,0,2,2,0.2,0.0005443416440585532,0.9994555619784089,9.637753793414943e-08,0.9999999036224675,95.15177467240252,95.15186218320697,95.15178384289666,908,True
reject_confidence,0.9,0.94,10.000000000000002,16.666666666666654,34,0,2,2,0.05,0.9963823241379742,0.003617587909355076,8.795266393372136e-08,0.9999999120473293,161.29182163448033,161.29196156716864,161.29183582052806,1591,True
reject_confidence,0.9,0.94,10.000000000000002,16.666666666666654,34,0,2,2,0.08,0.9872689122369773,0.012714868654575833,1.621910850093318e-05,0.9999837808915532,,1291.5270029959245,1291.3857570365553,10000,False
reject_confidence,0.9,0.94,10.000000000000002,16.666666666666654,34,0,2,2,0.12,0.02158324938751382,0.9757139827701948,0.002702767842300456,0.9972972321577086,,2746.1817002311395,2726.523180982958,10000,False
reject_confidence,0.9,0.94,10.000000000000002,16.666666666666654,34,0,2,2,0.2,0.0005443416557523031,0.9994555587647735,9.957947912411998e-08,0.9999999004205259,99.45295516488855,99.45304657885039,99.45296506836252,918,True
reject_confidence,0.9,0.96,10.000000000000002,24.99999999999998,34,0,2,2,0.05,0.9969318244612374,0.003068087270937029,8.826781826782812e-08,0.9999999117321744,161.45658534078288,161.45672577488173,161.45659959220586,1591,True
reject_confidence,0.9,0.96,10.000000000000002,24.99999999999998,34,0,2,2,0.08,0.9898074350782834,0.010176256968720715,1.6307953047484937e-05,0.9999836920470041,,1296.3280652805681,1296.1861238924757,10000,False
reject_confidence,0.9,0.96,10.000000000000002,24.99999999999998,34,0,2,2,0.12,0.021584811309865965,0.9746760748081038,0.0037391138820352695,0.9962608861179698,,2975.1147605835667,2948.7493313225896,10000,False
