mixture,prior_a,prior_b,n,accept_boundary,reject_boundary
uniform,1.0,1.0,20,,7
uniform,1.0,1.0,34,0.0,10
uniform,1.0,1.0,40,0.0,11
uniform,1.0,1.0,50,0.0,13
uniform,1.0,1.0,80,2.0,18
uniform,1.0,1.0,100,3.0,21
uniform,1.0,1.0,160,7.0,30
uniform,1.0,1.0,200,10.0,36
uniform,1.0,1.0,500,33.0,75
jeffreys_type,0.5,0.5,20,,7
jeffreys_type,0.5,0.5,34,0.0,10
jeffreys_type,0.5,0.5,40,0.0,11
jeffreys_type,0.5,0.5,50,0.0,13
jeffreys_type,0.5,0.5,80,2.0,18
jeffreys_type,0.5,0.5,100,3.0,22
jeffreys_type,0.5,0.5,160,6.0,30
jeffreys_type,0.5,0.5,200,9.0,36
jeffreys_type,0.5,0.5,500,32.0,75
