true_p,accept_prob,reject_prob,unresolved_prob,stop_prob,expected_tau_if_converged,truncated_expected_n,conditional_expected_n_given_stopped,horizon,converged,distance_to_p0
0.03,0.9988876062062024,0.0011122985358482944,9.525794693450926e-08,0.9999999047420507,75.45534997703903,75.45540932273998,75.45535716476162,623,True,0.07
0.04,0.9978690143418127,0.0021308981261556853,8.75320278668585e-08,0.9999999124679684,106.81622570685782,106.81631157577716,106.81623505669988,981,True,0.060000000000000005
0.05,0.9963957758634047,0.003604136142392039,8.799419673156844e-08,0.9999999120057967,161.2973542635286,161.2974942622956,161.29736845676203,1591,True,0.05
0.06,0.9943438893549568,0.005656013987082455,9.665794577807845e-08,0.9999999033420393,267.49134570741245,267.4916117100792,267.49137156258297,2752,True,0.04000000000000001
0.07,0.9915225037479571,0.008477398856557914,9.739545708719178e-08,0.9999999026045151,514.2742576384146,514.2747835738829,514.2743077264101,5400,True,0.03
0.08,0.987594489348384,0.012405412031306733,9.862036211608802e-08,0.9999999013796907,1292.2250220548442,1292.2263438635578,1292.225149494488,13403,True,0.020000000000000004
0.09,0.9558063975678747,0.018201045290363167,0.02599255714193205,0.9740074428582378,,6099.153070585412,5728.192293248022,20000,False,0.010000000000000009
0.095,0.40957600833594904,0.022481325134740385,0.5679426665297101,0.4320573334706894,,14299.982843988357,6807.2667341814185,20000,False,0.0050000000000000044
0.1,0.09290889916559088,0.029855093384211873,0.8772360074506662,0.12276399254980275,,17627.83614659372,677.0388927085348,20000,False,0.0
0.105,0.05496092211237958,0.13258328544077003,0.81245579244709,0.1875442075531496,,17378.649870630015,6022.761440755822,20000,False,0.0049999999999999906
0.11,0.03863070922484259,0.7898229991993869,0.17154629157593523,0.8284537084242295,,11217.26163450471,9398.637152335405,20000,False,0.009999999999999995
0.12,0.021583269148560572,0.9784166309414178,9.991002148712454e-08,0.9999999000899784,2846.4371196993197,2846.439114802539,2846.437404086942,19969,True,0.01999999999999999
0.13,0.012909818331777949,0.9870900817994271,9.986879721624716e-08,0.9999999001312051,1219.0968488209958,1219.09774853899,1219.0969705707412,9009,True,0.03
0.14,0.007978221364256709,0.9920216791559251,9.947982033977814e-08,0.9999999005201818,670.1258471807611,670.1263606955937,670.1259138447651,5162,True,0.04000000000000001
0.15,0.005021956183247691,0.9949779444369133,9.937982515407026e-08,0.9999999006201611,422.4562122638434,422.456547273234,422.4562542474779,3371,True,0.04999999999999999
0.16,0.00319573315704284,0.996804167099947,9.97430021627102e-08,0.9999999002569898,290.4799870212185,290.48022540699367,290.4800159945697,2390,True,0.06
0.17,0.002046619634644453,0.9979532804946383,9.987071122505483e-08,0.9999999001292827,212.0769896324033,212.0771685008471,212.07701081268647,1791,True,0.07
0.18,0.0013151562500172285,0.9986847441017588,9.964823365209907e-08,0.999999900351776,161.78132247724471,161.7814618851236,161.78133859846778,1399,True,0.07999999999999999
0.19,0.0008462131391622194,0.9991536870693772,9.979146728915312e-08,0.9999999002085395,127.61934067103724,127.6194530362294,127.61935340635891,1126,True,0.09
0.2,0.0005443416557590041,0.9994555590789723,9.926527387650757e-08,0.9999999007347313,103.3678434224402,103.36793573914491,103.36785368327797,930,True,0.1
