policy_bits,profit,cost,x_C1,x_C2,x_C3,x_C4,x_C5,x_C6,x_C7,x_C8,y_H1,y_H2,y_H3,z_H1,z_H2,z_H3,y_F,z_F
1111111111111101,60.22222222222223,139.77777777777777,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1101111111111101,60.04222222222222,139.95777777777778,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1111101111111101,60.04222222222222,139.95777777777778,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
1111111011111101,60.04222222222222,139.95777777777778,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
1101101111111101,59.862222222222215,140.13777777777779,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1
1101111011111101,59.862222222222215,140.13777777777779,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1
1111101011111101,59.862222222222215,140.13777777777779,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1
1101101011111101,59.68222222222221,140.3177777777778,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1
1111111100011111,59.369200000000006,140.6308,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
1111111100111111,59.27199999999999,140.728,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
