p_final,replacement_loss,profit_no_final_inspection,profit_final_inspection,profit_diff_inspect_minus_no,preferred,analytic_rule
0.04,0.0,65.91666666666669,59.666666666666686,-6.25,no_inspect,no_inspect
0.04,2.5,65.81250000000003,59.666666666666686,-6.145833333333343,no_inspect,no_inspect
0.04,5.0,65.70833333333334,59.666666666666686,-6.041666666666657,no_inspect,no_inspect
0.04,7.5,65.60416666666669,59.666666666666686,-5.9375,no_inspect,no_inspect
0.04,10.0,65.50000000000003,59.666666666666686,-5.833333333333343,no_inspect,no_inspect
0.04,12.5,65.39583333333334,59.666666666666686,-5.729166666666657,no_inspect,no_inspect
0.04,15.0,65.29166666666669,59.666666666666686,-5.625,no_inspect,no_inspect
0.04,17.5,65.18750000000003,59.666666666666686,-5.520833333333343,no_inspect,no_inspect
0.04,20.0,65.08333333333334,59.666666666666686,-5.416666666666657,no_inspect,no_inspect
0.04,22.5,64.97916666666669,59.666666666666686,-5.3125,no_inspect,no_inspect
0.04,25.0,64.87500000000003,59.666666666666686,-5.208333333333343,no_inspect,no_inspect
0.04,27.5,64.77083333333334,59.666666666666686,-5.104166666666657,no_inspect,no_inspect
0.04,30.0,64.66666666666669,59.666666666666686,-5.0,no_inspect,no_inspect
0.04,32.5,64.56250000000003,59.666666666666686,-4.895833333333343,no_inspect,no_inspect
0.04,35.0,64.45833333333334,59.666666666666686,-4.791666666666657,no_inspect,no_inspect
0.04,37.5,64.35416666666669,59.666666666666686,-4.6875,no_inspect,no_inspect
0.04,40.0,64.25000000000003,59.666666666666686,-4.583333333333343,no_inspect,no_inspect
0.04,42.5,64.14583333333334,59.666666666666686,-4.479166666666657,no_inspect,no_inspect
0.04,45.0,64.04166666666669,59.666666666666686,-4.375,no_inspect,no_inspect
0.04,47.5,63.93750000000003,59.666666666666686,-4.270833333333343,no_inspect,no_inspect
0.04,50.0,63.83333333333334,59.666666666666686,-4.166666666666657,no_inspect,no_inspect
0.04,52.5,63.729166666666686,59.666666666666686,-4.0625,no_inspect,no_inspect
0.04,55.0,63.62500000000003,59.666666666666686,-3.958333333333343,no_inspect,no_inspect
0.04,57.5,63.52083333333334,59.666666666666686,-3.854166666666657,no_inspect,no_inspect
0.04,60.0,63.416666666666686,59.666666666666686,-3.75,no_inspect,no_inspect
0.04,62.5,63.31250000000003,59.666666666666686,-3.645833333333343,no_inspect,no_inspect
0.04,65.0,63.20833333333334,59.666666666666686,-3.541666666666657,no_inspect,no_inspect
0.04,67.5,63.104166666666686,59.666666666666686,-3.4375,no_inspect,no_inspect
0.04,70.0,63.00000000000003,59.666666666666686,-3.333333333333343,no_inspect,no_inspect
0.04,72.5,62.89583333333334,59.666666666666686,-3.229166666666657,no_inspect,no_inspect
0.04,75.0,62.791666666666686,59.666666666666686,-3.125,no_inspect,no_inspect
0.04,77.5,62.68750000000003,59.666666666666686,-3.020833333333343,no_inspect,no_inspect
0.04,80.0,62.58333333333334,59.666666666666686,-2.916666666666657,no_inspect,no_inspect
0.04,82.5,62.479166666666686,59.666666666666686,-2.8125,no_inspect,no_inspect
0.04,85.0,62.37500000000003,59.666666666666686,-2.708333333333343,no_inspect,no_inspect
0.04,87.5,62.27083333333334,59.666666666666686,-2.604166666666657,no_inspect,no_inspect
0.04,90.0,62.166666666666686,59.666666666666686,-2.5,no_inspect,no_inspect
0.04,92.5,62.06250000000003,59.666666666666686,-2.395833333333343,no_inspect,no_inspect
0.04,95.0,61.95833333333334,59.666666666666686,-2.291666666666657,no_inspect,no_inspect
0.04,97.5,61.854166666666686,59.666666666666686,-2.1875,no_inspect,no_inspect
0.04,100.0,61.75,59.666666666666686,-2.0833333333333144,no_inspect,no_inspect
0.045,0.0,65.81849912739966,59.53577661431066,-6.2827225130889985,no_inspect,no_inspect
0.045,2.5,65.70069808027924,59.53577661431066,-6.164921465968575,no_inspect,no_inspect
0.045,5.0,65.58289703315884,59.53577661431066,-6.047120418848181,no_inspect,no_inspect
0.045,7.5,65.46509598603842,59.53577661431066,-5.9293193717277575,no_inspect,no_inspect
0.045,10.0,65.347294938918,59.53577661431066,-5.811518324607334,no_inspect,no_inspect
0.045,12.5,65.22949389179757,59.53577661431066,-5.693717277486911,no_inspect,no_inspect
0.045,15.0,65.11169284467715,59.53577661431066,-5.575916230366488,no_inspect,no_inspect
0.045,17.5,64.99389179755673,59.53577661431066,-5.458115183246065,no_inspect,no_inspect
0.045,20.0,64.8760907504363,59.53577661431066,-5.340314136125642,no_inspect,no_inspect
0.045,22.5,64.75828970331591,59.53577661431066,-5.222513089005247,no_inspect,no_inspect
0.045,25.0,64.64048865619549,59.53577661431066,-5.104712041884824,no_inspect,no_inspect
0.045,27.5,64.52268760907506,59.53577661431066,-4.986910994764401,no_inspect,no_inspect
0.045,30.0,64.40488656195464,59.53577661431066,-4.869109947643977,no_inspect,no_inspect
0.045,32.5,64.28708551483422,59.53577661431066,-4.751308900523554,no_inspect,no_inspect
0.045,35.0,64.1692844677138,59.53577661431066,-4.633507853403131,no_inspect,no_inspect
0.045,37.5,64.05148342059337,59.53577661431066,-4.515706806282708,no_inspect,no_inspect
0.045,40.0,63.933682373472976,59.53577661431066,-4.397905759162313,no_inspect,no_inspect
0.045,42.5,63.81588132635255,59.53577661431066,-4.28010471204189,no_inspect,no_inspect
0.045,45.0,63.69808027923213,59.53577661431066,-4.162303664921467,no_inspect,no_inspect
0.045,47.5,63.58027923211171,59.53577661431066,-4.044502617801044,no_inspect,no_inspect
0.045,50.0,63.462478184991284,59.53577661431066,-3.9267015706806205,no_inspect,no_inspect
0.045,52.5,63.34467713787086,59.53577661431066,-3.8089005235601974,no_inspect,no_inspect
0.045,55.0,63.226876090750466,59.53577661431066,-3.6910994764398026,no_inspect,no_inspect
0.045,57.5,63.10907504363004,59.53577661431066,-3.5732984293193795,no_inspect,no_inspect
0.045,60.0,62.99127399650962,59.53577661431066,-3.4554973821989563,no_inspect,no_inspect
0.045,62.5,62.873472949389196,59.53577661431066,-3.337696335078533,no_inspect,no_inspect
0.045,65.0,62.75567190226877,59.53577661431066,-3.21989528795811,no_inspect,no_inspect
0.045,67.5,62.63787085514835,59.53577661431066,-3.102094240837687,no_inspect,no_inspect
0.045,70.0,62.52006980802793,59.53577661431066,-2.9842931937172636,no_inspect,no_inspect
0.045,72.5,62.40226876090753,59.53577661431066,-2.866492146596869,no_inspect,no_inspect
0.045,75.0,62.28446771378711,59.53577661431066,-2.7486910994764457,no_inspect,no_inspect
0.045,77.5,62.166666666666686,59.53577661431066,-2.6308900523560226,no_inspect,no_inspect
0.045,80.0,62.04886561954626,59.53577661431066,-2.5130890052355994,no_inspect,no_inspect
0.045,82.5,61.93106457242584,59.53577661431066,-2.3952879581151763,no_inspect,no_inspect
0.045,85.0,61.813263525305416,59.53577661431066,-2.277486910994753,no_inspect,no_inspect
0.045,87.5,61.69546247818499,59.53577661431066,-2.15968586387433,no_inspect,no_inspect
0.045,90.0,61.5776614310646,59.53577661431066,-2.041884816753935,no_inspect,no_inspect
0.045,92.5,61.459860383944175,59.53577661431066,-1.924083769633512,no_inspect,no_inspect
0.045,95.0,61.34205933682375,59.53577661431066,-1.8062827225130889,no_inspect,no_inspect
0.045,97.5,61.22425828970333,59.53577661431066,-1.6884816753926657,no_inspect,no_inspect
0.045,100.0,61.106457242582906,59.53577661431066,-1.5706806282722425,no_inspect,no_inspect
0.05,0.0,65.71929824561406,59.403508771929836,-6.3157894736842195,no_inspect,no_inspect
0.05,2.5,65.58771929824564,59.403508771929836,-6.184210526315809,no_inspect,no_inspect
0.05,5.0,65.4561403508772,59.403508771929836,-6.05263157894737,no_inspect,no_inspect
0.05,7.5,65.3245614035088,59.403508771929836,-5.921052631578959,no_inspect,no_inspect
0.05,10.0,65.19298245614036,59.403508771929836,-5.78947368421052,no_inspect,no_inspect
0.05,12.5,65.06140350877195,59.403508771929836,-5.65789473684211,no_inspect,no_inspect
0.05,15.0,64.92982456140354,59.403508771929836,-5.526315789473699,no_inspect,no_inspect
0.05,17.5,64.7982456140351,59.403508771929836,-5.39473684210526,no_inspect,no_inspect
0.05,20.0,64.66666666666669,59.403508771929836,-5.26315789473685,no_inspect,no_inspect
0.05,22.5,64.53508771929828,59.403508771929836,-5.131578947368439,no_inspect,no_inspect
0.05,25.0,64.40350877192984,59.403508771929836,-5.0,no_inspect,no_inspect
0.05,27.5,64.27192982456143,59.403508771929836,-4.868421052631589,no_inspect,no_inspect
0.05,30.0,64.14035087719299,59.403508771929836,-4.73684210526315,no_inspect,no_inspect
0.05,32.5,64.00877192982458,59.403508771929836,-4.60526315789474,no_inspect,no_inspect
0.05,35.0,63.877192982456165,59.403508771929836,-4.473684210526329,no_inspect,no_inspect
0.05,37.5,63.745614035087726,59.403508771929836,-4.34210526315789,no_inspect,no_inspect
0.05,40.0,63.614035087719316,59.403508771929836,-4.21052631578948,no_inspect,no_inspect
0.05,42.5,63.482456140350905,59.403508771929836,-4.078947368421069,no_inspect,no_inspect
0.05,45.0,63.350877192982466,59.403508771929836,-3.94736842105263,no_inspect,no_inspect
0.05,47.5,63.219298245614056,59.403508771929836,-3.8157894736842195,no_inspect,no_inspect
0.05,50.0,63.08771929824562,59.403508771929836,-3.6842105263157805,no_inspect,no_inspect
0.05,52.5,62.956140350877206,59.403508771929836,-3.55263157894737,no_inspect,no_inspect
0.05,55.0,62.824561403508795,59.403508771929836,-3.4210526315789593,no_inspect,no_inspect
0.05,57.5,62.692982456140356,59.403508771929836,-3.2894736842105203,no_inspect,no_inspect
0.05,60.0,62.561403508771946,59.403508771929836,-3.1578947368421098,no_inspect,no_inspect
0.05,62.5,62.429824561403535,59.403508771929836,-3.026315789473699,no_inspect,no_inspect
0.05,65.0,62.298245614035096,59.403508771929836,-2.89473684210526,no_inspect,no_inspect
0.05,67.5,62.166666666666686,59.403508771929836,-2.7631578947368496,no_inspect,no_inspect
0.05,70.0,62.03508771929825,59.403508771929836,-2.6315789473684106,no_inspect,no_inspect
0.05,72.5,61.903508771929836,59.403508771929836,-2.5,no_inspect,no_inspect
0.05,75.0,61.771929824561425,59.403508771929836,-2.3684210526315894,no_inspect,no_inspect
0.05,77.5,61.640350877192986,59.403508771929836,-2.2368421052631504,no_inspect,no_inspect
0.05,80.0,61.508771929824576,59.403508771929836,-2.10526315789474,no_inspect,no_inspect
0.05,82.5,61.377192982456165,59.403508771929836,-1.9736842105263293,no_inspect,no_inspect
0.05,85.0,61.245614035087726,59.403508771929836,-1.8421052631578902,no_inspect,no_inspect
0.05,87.5,61.114035087719316,59.403508771929836,-1.7105263157894797,no_inspect,no_inspect
0.05,90.0,60.982456140350905,59.403508771929836,-1.578947368421069,no_inspect,no_inspect
0.05,92.5,60.850877192982466,59.403508771929836,-1.44736842105263,no_inspect,no_inspect
0.05,95.0,60.719298245614056,59.403508771929836,-1.3157894736842195,no_inspect,no_inspect
0.05,97.5,60.58771929824562,59.403508771929836,-1.1842105263157805,no_inspect,no_inspect
0.05,100.0,60.456140350877206,59.403508771929836,-1.05263157894737,no_inspect,no_inspect
0.055,0.0,65.61904761904765,59.269841269841294,-6.349206349206355,no_inspect,no_inspect
0.055,2.5,65.47354497354499,59.269841269841294,-6.203703703703695,no_inspect,no_inspect
0.055,5.0,65.32804232804236,59.269841269841294,-6.058201058201064,no_inspect,no_inspect
0.055,7.5,65.1825396825397,59.269841269841294,-5.912698412698404,no_inspect,no_inspect
0.055,10.0,65.03703703703707,59.269841269841294,-5.767195767195773,no_inspect,no_inspect
0.055,12.5,64.8915343915344,59.269841269841294,-5.621693121693113,no_inspect,no_inspect
