parameter,value,best_policy_bits,best_profit,best_cost,x_C3,y_H1,z_H1,y_F,z_F
L,40.0,1111111111111101,60.22222222222223,139.77777777777777,1,1,1,0,1
L,59.0,1111111100011111,59.369200000000006,140.6308,1,0,1,1,1
L,61.0,1111111100011111,59.369200000000006,140.6308,1,0,1,1,1
L,80.0,1111111100011111,59.369200000000006,140.6308,1,0,1,1,1
pF,0.1,1111111111111101,60.22222222222223,139.77777777777777,1,1,1,0,1
pF,0.14,1111111100011111,57.77896992248063,142.22103007751937,1,0,1,1,1
pF,0.16,1111111100111111,56.97843809523809,143.0215619047619,1,0,1,1,1
pF,0.2,1111111100111111,55.29066666666668,144.70933333333332,1,0,1,1,1
bC3,2.0,1111111111111101,60.22222222222223,139.77777777777777,1,1,1,0,1
bC3,2.2,1111111111111101,60.0,140.0,1,1,1,0,1
bC3,2.25,1101111111111101,59.96694444444444,140.03305555555556,0,1,1,0,1
bC3,3.0,1101111111111101,59.74111111111114,140.25888888888886,0,1,1,0,1
bH1,4.0,1111111111111101,60.22222222222223,139.77777777777777,1,1,1,0,1
bH1,7.0,1111111100111111,58.12566666666669,141.8743333333333,1,0,1,1,1
bH1,7.3,1111111100111111,58.01103333333333,141.98896666666667,1,0,1,1,1
bH1,9.0,1111111100111111,57.36144444444446,142.63855555555554,1,0,1,1,1
dH1,6.0,1111111111111101,60.22222222222223,139.77777777777777,1,1,1,0,1
dH1,28.0,1111111111111101,57.77777777777777,142.22222222222223,1,1,1,0,1
dH1,30.0,1111111111101101,57.679012345678984,142.32098765432102,1,1,0,0,1
dH1,35.0,1111111111101101,57.679012345678984,142.32098765432102,1,1,0,0,1
dF,10.0,1111111111111101,60.22222222222223,139.77777777777777,1,1,1,0,1
dF,120.0,1111111111111101,48.00000000000003,151.99999999999997,1,1,1,0,1
dF,130.0,1111111111111100,47.40740740740742,152.59259259259258,1,1,1,0,0
dF,150.0,1111111111111100,47.40740740740742,152.59259259259258,1,1,1,0,0
