rank,scenario_id,policy4,policy6,x1,x2,y,z,r1,r2,feasible,expected_cost,expected_profit,spectral_radius,condition_number,bellman_residual_inf,absorption_probability,reachable_state_count,reason,cost_purchase,cost_component_inspection,cost_assembly,cost_final_inspection,cost_replacement,cost_disassembly,count_purchase_1,count_purchase_2,count_inspect_1,count_inspect_2,count_assemblies,count_final_inspections,count_replacements,count_disassemblies
1,1,1001,100101,1,0,0,1,0,1,True,37.15888888888889,18.84111111111111,0.1,1.2646472596294436,0.0,1.0,4,,24.444444444444443,3.1255555555555556,7.2666666666666675,0.0,1.2666666666666668,1.0555555555555556,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.30111111111111116,1.2111111111111112,0.0,0.21111111111111114,0.21111111111111114
2,1,0001,000111,0,0,0,1,1,1,True,37.47388888888889,18.526111111111113,0.1,1.324588898971735,0.0,0.9999999999999998,6,,24.444444444444443,1.910555555555556,7.806666666666666,0.0,1.806666666666667,1.5055555555555558,1.1111111111111112,1.1111111111111112,0.3821111111111112,0.3821111111111112,1.3011111111111113,0.0,0.3011111111111112,0.3011111111111112
3,1,1101,110100,1,1,0,1,0,0,True,37.88888888888889,18.111111111111107,0.1,1.1605958227452635,0.0,1.0,2,,24.444444444444443,5.555555555555555,6.666666666666667,0.0,0.6666666666666667,0.5555555555555556,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.0,0.11111111111111112,0.11111111111111112
4,1,0101,010110,0,1,0,1,1,0,True,37.96888888888889,18.03111111111111,0.1,1.2646472596294436,0.0,1.0,4,,24.444444444444443,3.9355555555555557,7.2666666666666675,0.0,1.2666666666666668,1.0555555555555556,1.1111111111111112,1.1111111111111112,0.30111111111111116,1.1111111111111112,1.2111111111111112,0.0,0.21111111111111114,0.21111111111111114
5,1,1000,100000,1,0,0,0,0,0,True,39.267489711934154,16.732510288065846,0.19,1.0,0.0,1.0,1,,27.709190672153632,2.7434842249657065,7.4074074074074066,0.0,1.4074074074074074,0.0,1.3717421124828533,1.2345679012345678,1.3717421124828533,0.0,1.2345679012345678,0.0,0.2345679012345679,0.0
6,1,1011,101101,1,0,1,1,0,1,True,39.525555555555556,16.474444444444444,0.1,1.2646472596294436,0.0,1.0,4,,24.444444444444443,3.1255555555555556,7.2666666666666675,3.6333333333333337,0.0,1.0555555555555556,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.30111111111111116,1.2111111111111112,1.2111111111111112,0.0,0.21111111111111114
7,1,0011,001111,0,0,1,1,1,1,True,39.57055555555555,16.42944444444445,0.1,1.324588898971735,0.0,0.9999999999999998,6,,24.444444444444443,1.910555555555556,7.806666666666666,3.903333333333333,0.0,1.5055555555555558,1.1111111111111112,1.1111111111111112,0.3821111111111112,0.3821111111111112,1.3011111111111113,1.3011111111111113,0.0,0.3011111111111112
8,1,0111,011110,0,1,1,1,1,0,True,40.33555555555556,15.664444444444442,0.1,1.2646472596294436,0.0,1.0,4,,24.444444444444443,3.9355555555555557,7.2666666666666675,3.6333333333333337,0.0,1.0555555555555556,1.1111111111111112,1.1111111111111112,0.30111111111111116,1.1111111111111112,1.2111111111111112,1.2111111111111112,0.0,0.21111111111111114
9,1,1111,111100,1,1,1,1,0,0,True,40.55555555555556,15.444444444444443,0.1,1.1605958227452635,0.0,1.0,2,,24.444444444444443,5.555555555555555,6.666666666666667,3.3333333333333335,0.0,0.5555555555555556,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.0,0.11111111111111112
10,1,0000,000000,0,0,0,0,0,0,True,40.63923182441702,15.360768175582983,0.2710000000000001,1.0,0.0,1.0,1,,30.178326474622775,0.0,8.230452674897121,0.0,2.23045267489712,0.0,1.3717421124828535,1.3717421124828535,0.0,0.0,1.3717421124828535,0.0,0.3717421124828534,0.0
