raw_index,raw_policy6,effective_policy6,policy4,canonicalized
1,000000,000000,0000,False
2,000001,000000,0000,True
3,000010,000000,0000,True
4,000011,000000,0000,True
5,000100,000100,0001,False
6,000101,000101,0001,False
7,000110,000110,0001,False
8,000111,000111,0001,False
9,001000,001000,0010,False
10,001001,001000,0010,True
11,001010,001000,0010,True
12,001011,001000,0010,True
13,001100,001100,0011,False
14,001101,001101,0011,False
15,001110,001110,0011,False
16,001111,001111,0011,False
17,010000,010000,0100,False
18,010001,010000,0100,True
19,010010,010000,0100,True
20,010011,010000,0100,True
21,010100,010100,0101,False
22,010101,010101,0101,False
23,010110,010110,0101,False
24,010111,010111,0101,False
25,011000,011000,0110,False
26,011001,011000,0110,True
27,011010,011000,0110,True
28,011011,011000,0110,True
29,011100,011100,0111,False
30,011101,011101,0111,False
31,011110,011110,0111,False
32,011111,011111,0111,False
33,100000,100000,1000,False
34,100001,100000,1000,True
35,100010,100000,1000,True
36,100011,100000,1000,True
37,100100,100100,1001,False
38,100101,100101,1001,False
39,100110,100110,1001,False
40,100111,100111,1001,False
41,101000,101000,1010,False
42,101001,101000,1010,True
43,101010,101000,1010,True
44,101011,101000,1010,True
45,101100,101100,1011,False
46,101101,101101,1011,False
47,101110,101110,1011,False
48,101111,101111,1011,False
49,110000,110000,1100,False
50,110001,110000,1100,True
51,110010,110000,1100,True
52,110011,110000,1100,True
53,110100,110100,1101,False
54,110101,110101,1101,False
55,110110,110110,1101,False
56,110111,110111,1101,False
57,111000,111000,1110,False
58,111001,111000,1110,True
59,111010,111000,1110,True
60,111011,111000,1110,True
61,111100,111100,1111,False
62,111101,111101,1111,False
63,111110,111110,1111,False
64,111111,111111,1111,False
