quality_id,quality_type,sample_design,n,k,input_certified,batch_id,seq_reference_p0,reported_rate,note
Q2-S1-C1,raw_component,,,,True,,,0.1,来自同一稳定批次的真实抽样记录
Q2-S1-C2,raw_component,,,,True,,,0.1,来自同一稳定批次的真实抽样记录
Q2-S1-F,process,,,,True,,,0.1,process记录必须来自所有输入均已确认合格的装配样本
Q2-S2-C1,raw_component,,,,True,,,0.2,来自同一稳定批次的真实抽样记录
Q2-S2-C2,raw_component,,,,True,,,0.2,来自同一稳定批次的真实抽样记录
Q2-S2-F,process,,,,True,,,0.2,process记录必须来自所有输入均已确认合格的装配样本
Q2-S3-C1,raw_component,,,,True,,,0.1,来自同一稳定批次的真实抽样记录
Q2-S3-C2,raw_component,,,,True,,,0.1,来自同一稳定批次的真实抽样记录
Q2-S3-F,process,,,,True,,,0.1,process记录必须来自所有输入均已确认合格的装配样本
Q2-S4-C1,raw_component,,,,True,,,0.2,来自同一稳定批次的真实抽样记录
Q2-S4-C2,raw_component,,,,True,,,0.2,来自同一稳定批次的真实抽样记录
Q2-S4-F,process,,,,True,,,0.2,process记录必须来自所有输入均已确认合格的装配样本
Q2-S5-C1,raw_component,,,,True,,,0.1,来自同一稳定批次的真实抽样记录
Q2-S5-C2,raw_component,,,,True,,,0.2,来自同一稳定批次的真实抽样记录
Q2-S5-F,process,,,,True,,,0.1,process记录必须来自所有输入均已确认合格的装配样本
Q2-S6-C1,raw_component,,,,True,,,0.05,来自同一稳定批次的真实抽样记录
Q2-S6-C2,raw_component,,,,True,,,0.05,来自同一稳定批次的真实抽样记录
Q2-S6-F,process,,,,True,,,0.05,process记录必须来自所有输入均已确认合格的装配样本
Q3-C1,raw_component,,,,True,,,0.1,真实抽样记录
Q3-C2,raw_component,,,,True,,,0.1,真实抽样记录
Q3-C3,raw_component,,,,True,,,0.1,真实抽样记录
Q3-C4,raw_component,,,,True,,,0.1,真实抽样记录
Q3-C5,raw_component,,,,True,,,0.1,真实抽样记录
Q3-C6,raw_component,,,,True,,,0.1,真实抽样记录
Q3-C7,raw_component,,,,True,,,0.1,真实抽样记录
Q3-C8,raw_component,,,,True,,,0.1,真实抽样记录
Q3-H1,process,,,,True,,,0.1,仅统计所有直接输入均已确认合格的装配样本
Q3-H2,process,,,,True,,,0.1,仅统计所有直接输入均已确认合格的装配样本
Q3-H3,process,,,,True,,,0.1,仅统计所有直接输入均已确认合格的装配样本
Q3-F,process,,,,True,,,0.1,仅统计所有直接输入均已确认合格的装配样本
