scope,quality_id,quality_type,sample_design,n,k,p_hat,input_certified,reported_rate,U_component_90,per_parameter_conf_90,U_simultaneous_90,U_component_95,per_parameter_conf_95,U_simultaneous_95
Q2-S1,Q2-S1-C1,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9666666666666667,0.17116515070373142,0.16371762327581474,0.9833333333333333,0.1830790108119756
Q2-S1,Q2-S1-C2,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9666666666666667,0.17116515070373142,0.16371762327581474,0.9833333333333333,0.1830790108119756
Q2-S1,Q2-S1-F,process,fixed,200,20,0.1,True,0.1,0.13281600873296123,0.9666666666666667,0.14689375288254922,0.14198925159094505,0.9833333333333333,0.1546991652408665
Q2-S2,Q2-S2-C1,raw_component,fixed,100,20,0.2,True,0.2,0.2606846763993995,0.9666666666666667,0.2859515470370431,0.27720024967091356,0.9833333333333333,0.29976586184001947
Q2-S2,Q2-S2-C2,raw_component,fixed,100,20,0.2,True,0.2,0.2606846763993995,0.9666666666666667,0.2859515470370431,0.27720024967091356,0.9833333333333333,0.29976586184001947
Q2-S2,Q2-S2-F,process,fixed,200,40,0.2,True,0.2,0.24095216497523905,0.9666666666666667,0.25821609885533836,0.2522495320082148,0.9833333333333333,0.26761315810538155
Q2-S3,Q2-S3-C1,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9666666666666667,0.17116515070373142,0.16371762327581474,0.9833333333333333,0.1830790108119756
Q2-S3,Q2-S3-C2,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9666666666666667,0.17116515070373142,0.16371762327581474,0.9833333333333333,0.1830790108119756
Q2-S3,Q2-S3-F,process,fixed,200,20,0.1,True,0.1,0.13281600873296123,0.9666666666666667,0.14689375288254922,0.14198925159094505,0.9833333333333333,0.1546991652408665
Q2-S4,Q2-S4-C1,raw_component,fixed,100,20,0.2,True,0.2,0.2606846763993995,0.9666666666666667,0.2859515470370431,0.27720024967091356,0.9833333333333333,0.29976586184001947
Q2-S4,Q2-S4-C2,raw_component,fixed,100,20,0.2,True,0.2,0.2606846763993995,0.9666666666666667,0.2859515470370431,0.27720024967091356,0.9833333333333333,0.29976586184001947
Q2-S4,Q2-S4-F,process,fixed,200,40,0.2,True,0.2,0.24095216497523905,0.9666666666666667,0.25821609885533836,0.2522495320082148,0.9833333333333333,0.26761315810538155
Q2-S5,Q2-S5-C1,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9666666666666667,0.17116515070373142,0.16371762327581474,0.9833333333333333,0.1830790108119756
Q2-S5,Q2-S5-C2,raw_component,fixed,100,20,0.2,True,0.2,0.2606846763993995,0.9666666666666667,0.2859515470370431,0.27720024967091356,0.9833333333333333,0.29976586184001947
Q2-S5,Q2-S5-F,process,fixed,200,20,0.1,True,0.1,0.13281600873296123,0.9666666666666667,0.14689375288254922,0.14198925159094505,0.9833333333333333,0.1546991652408665
Q2-S6,Q2-S6-C1,raw_component,fixed,100,5,0.05,True,0.05,0.09077146961407018,0.9666666666666667,0.10853332936485359,0.10225337764327444,0.9833333333333333,0.11871223214172381
Q2-S6,Q2-S6-C2,raw_component,fixed,100,5,0.05,True,0.05,0.09077146961407018,0.9666666666666667,0.10853332936485359,0.10225337764327444,0.9833333333333333,0.11871223214172381
Q2-S6,Q2-S6-F,process,fixed,200,10,0.05,True,0.05,0.07598978817347089,0.9666666666666667,0.08731474333803099,0.08333515106637196,0.9833333333333333,0.09371880893773812
