parameter,value,policy4,policy6,profit,gap,switch_from_previous
p1,0.05,0001,000111,19.844488304093574,0.5225000000000009,False
p1,0.05500000000000001,0001,000111,19.714321428571424,0.5197499999999877,False
p1,0.060000000000000005,0001,000111,19.58379905437352,0.4590000000000032,False
p1,0.065,0001,000111,19.452915478312534,0.36224999999999596,False
p1,0.07,0001,000111,19.32166487455197,0.26550000000000296,False
p1,0.07500000000000001,0001,000111,19.190041291291287,0.16874999999999574,False
p1,0.08000000000000002,0001,000111,19.058038647342997,0.07200000000000273,False
p1,0.085,1001,100111,18.95040072859745,0.024749999999997385,True
p1,0.09000000000000001,1001,100111,18.914371184371184,0.1214999999999975,False
p1,0.09500000000000001,1001,100111,18.87794352363413,0.2182499999999976,False
p1,0.1,1001,100111,18.84111111111111,0.3149999999999977,False
p1,0.10500000000000001,1001,100111,18.80386716325264,0.41175000000000495,False
p1,0.11000000000000001,1001,100111,18.76620474406991,0.508499999999998,False
p1,0.11500000000000002,1001,100111,18.728116760828627,0.6052500000000052,False
p1,0.12000000000000001,1001,100111,18.689595959595955,0.7019999999999911,False
p1,0.125,1001,100111,18.65063492063492,0.730000000000004,False
p1,0.13,1001,100111,18.611226053639847,0.730000000000004,False
p1,0.135,1001,100111,18.57136159280668,0.730000000000004,False
p1,0.14,1001,100111,18.531033591731266,0.730000000000004,False
p1,0.14500000000000002,1001,100111,18.49023391812866,0.730000000000004,False
p1,0.15000000000000002,1001,100111,18.448954248366014,0.730000000000004,False
p1,0.15500000000000003,1001,100111,18.407186061801447,0.730000000000004,False
p1,0.16000000000000003,1001,100111,18.364920634920637,0.730000000000004,False
p1,0.16500000000000004,1001,100111,18.32214903526281,0.730000000000004,False
p1,0.17000000000000004,1001,100111,18.278862115127176,0.730000000000004,False
p1,0.17500000000000004,1001,100111,18.235050505050502,0.730000000000004,False
p1,0.18000000000000005,1001,100111,18.190704607046072,0.730000000000004,False
p1,0.18500000000000005,1001,100111,18.145814587593726,0.730000000000004,False
p1,0.19,1001,100111,18.10037037037037,0.730000000000004,False
p1,0.195,1001,100111,18.054361628709458,0.730000000000004,False
p1,0.2,1001,100111,18.007777777777775,0.7299999999999969,False
p2,0.05,1001,100111,21.054181286549706,0.332499999999996,False
p2,0.05500000000000001,1001,100111,20.83872222222223,0.330750000000009,False
p2,0.060000000000000005,1001,100111,20.622018912529555,0.32900000000000773,False
p2,0.065,1001,100111,20.404051396316106,0.3272500000000065,False
p2,0.07,1001,100111,20.18479928315412,0.32550000000000523,False
p2,0.07500000000000001,1001,100111,19.964241741741738,0.3237499999999969,False
p2,0.08000000000000002,1001,100111,19.742357487922703,0.32200000000000273,False
p2,0.085,1001,100111,19.519124772313305,0.3202500000000015,False
p2,0.09000000000000001,1001,100111,19.29452136752137,0.3185000000000002,False
p2,0.09500000000000001,1001,100111,19.068524554941682,0.316749999999999,False
p2,0.1,1001,100111,18.84111111111111,0.3149999999999977,False
p2,0.10500000000000001,1001,100111,18.61225729360646,0.3132500000000107,False
p2,0.11000000000000001,1001,100111,18.381938826466914,0.31150000000000233,False
p2,0.11500000000000002,1001,100111,18.150130885122408,0.3097500000000011,False
p2,0.12000000000000001,1001,100111,17.91680808080808,0.30800000000000693,False
p2,0.125,1001,100111,17.681944444444447,0.23750000000001137,False
p2,0.13,1001,100111,17.445513409961684,0.1390000000000029,False
p2,0.135,1001,100111,17.2074877970456,0.040500000000001535,False
p2,0.14,1101,110111,17.025839793281648,0.05799999999999983,True
p2,0.14500000000000002,1101,110111,16.88304093567251,0.0800000000000054,False
p2,0.15000000000000002,1101,110111,16.738562091503262,0.0799999999999983,False
p2,0.15500000000000003,1101,110111,16.592373438527275,0.0799999999999983,False
p2,0.16000000000000003,1101,110111,16.444444444444436,0.0799999999999983,False
p2,0.16500000000000004,1101,110111,16.29474384564204,0.0799999999999983,False
p2,0.17000000000000004,1101,110111,16.143239625167332,0.0799999999999983,False
p2,0.17500000000000004,1101,110111,15.989898989898983,0.0799999999999983,False
p2,0.18000000000000005,1101,110111,15.83468834688346,0.0799999999999983,False
p2,0.18500000000000005,1101,110111,15.677573278800267,0.0800000000000054,False
p2,0.19,1101,110111,15.518518518518519,0.0800000000000054,False
p2,0.195,1101,110111,15.35748792270531,0.0800000000000054,False
p2,0.2,1101,110111,15.194444444444443,0.0800000000000054,False
pf,0.05,1001,100111,19.970263157894742,0.24750000000000227,False
pf,0.05500000000000001,1001,100111,19.862082010582014,0.2542500000000061,False
pf,0.060000000000000005,1001,100111,19.75289361702127,0.2609999999999957,False
pf,0.065,1001,100111,19.64268181818182,0.2677499999999995,False
pf,0.07,1001,100111,19.531430107526887,0.2745000000000033,False
pf,0.07500000000000001,1001,100111,19.419121621621628,0.2812500000000071,False
