scope,parameter,left_value,right_value,old_policy,new_policy,refined_threshold
Q3,pF,0.12250000000000001,0.125,1111111111111101,1111111100011111,0.12478546142578126
Q3,pF,0.14250000000000002,0.14500000000000002,1111111100011111,1111111101011111,0.1428573608398438
Q3,pF,0.15000000000000002,0.15250000000000002,1111111101011111,1111111110011111,0.15000030517578128
Q3,pF,0.15250000000000002,0.15500000000000003,1111111110011111,1111111101011111,0.15499969482421877
Q3,pF,0.15750000000000003,0.16000000000000003,1111111101011111,1111111110011111,0.15750030517578129
Q3,pF,0.16000000000000003,0.16250000000000003,1111111110011111,1111111101011111,0.16249969482421878
Q3,pF,0.16250000000000003,0.16500000000000004,1111111101011111,1111111110011111,0.1625003051757813
Q3,pF,0.16500000000000004,0.16750000000000004,1111111110011111,1111111100111111,0.16749969482421878
Q3,pF,0.17000000000000004,0.17250000000000004,1111111100111111,1111111101011111,0.1700003051757813
Q3,pF,0.17500000000000004,0.17750000000000005,1111111101011111,1111111110011111,0.1750003051757813
Q3,pF,0.17750000000000005,0.18000000000000005,1111111110011111,1111111101011111,0.1799996948242188
Q3,pF,0.18250000000000005,0.18500000000000005,1111111101011111,1111111100111111,0.1825003051757813
Q3,pF,0.19,0.1925,1111111100111111,1111111110011111,0.19000030517578126
Q3,pF,0.1925,0.195,1111111110011111,1111111100111111,0.19499969482421875
Q3,pF,0.195,0.1975,1111111100111111,1111111110011111,0.19500030517578126
Q3,replacement_loss,7.0,7.5,1111111100011101,1111111100111101,7.200000286102295
Q3,replacement_loss,7.5,8.0,1111111100111101,1111111101011101,7.500000476837158
Q3,replacement_loss,8.5,9.0,1111111101011101,1111111100111101,8.500000476837158
Q3,replacement_loss,9.0,9.5,1111111100111101,1111111110011101,9.000000476837158
Q3,replacement_loss,9.5,10.0,1111111110011101,1111111101011101,9.999999523162842
Q3,replacement_loss,10.5,11.0,1111111101011101,1111111110111101,10.500000476837158
Q3,replacement_loss,11.0,11.5,1111111110111101,1111111111011101,11.000000476837158
Q3,replacement_loss,12.0,12.5,1111111111011101,1111111101111101,12.499999523162842
Q3,replacement_loss,12.5,13.0,1111111101111101,1111111110111101,12.500000476837158
Q3,replacement_loss,13.5,14.0,1111111110111101,1111111101111101,13.500000476837158
Q3,replacement_loss,14.0,14.5,1111111101111101,1111111111111101,14.000000476837158
